Prime,Prime Mod 12,# of Conjugate Pairs,# of Isogenous Conjugate Pairs,% of Isogenous Conjugates
1039,7,32,8,0.25
1049,5,33,5,0.1515151515
1051,7,39,6,0.1538461538
1061,5,38,4,0.1052631579
1063,7,35,12,0.3428571429
1069,1,37,9,0.2432432432
1087,7,41,14,0.3414634146
1091,11,29,4,0.1379310345
1093,1,43,9,0.2093023256
1097,5,37,7,0.1891891892
1103,11,35,7,0.2
1109,5,34,5,0.1470588235
1117,1,43,7,0.1627906977
1123,7,42,17,0.4047619048
1129,1,43,7,0.1627906977
1151,11,28,2,0.07142857143
1153,1,44,14,0.3181818182
1163,11,42,5,0.119047619
1171,7,42,10,0.2380952381
1181,5,38,5,0.1315789474
1187,11,41,5,0.1219512195
1193,5,41,7,0.1707317073
1201,1,46,10,0.2173913043
1213,1,48,12,0.25
1217,5,43,7,0.1627906977
1223,11,34,5,0.1470588235
1229,5,42,4,0.09523809524
1231,7,38,6,0.1578947368
1237,1,48,17,0.3541666667
1249,1,44,9,0.2045454545
1259,11,38,6,0.1578947368
1277,5,45,8,0.1777777778
1279,7,42,14,0.3333333333
1283,11,43,4,0.09302325581
1289,5,45,4,0.08888888889
1291,7,45,11,0.2444444444
1297,1,51,10,0.1960784314
1301,5,42,5,0.119047619
1303,7,49,13,0.2653061224
1307,11,44,10,0.2272727273
1319,11,33,3,0.09090909091
1321,1,49,12,0.2448979592
1327,7,48,10,0.2083333333
1361,5,42,4,0.09523809524
1367,11,45,6,0.1333333333
1373,5,53,9,0.1698113208
1381,1,51,6,0.1176470588
1399,7,45,9,0.2
1409,5,50,5,0.1
1423,7,55,16,0.2909090909
1427,11,45,5,0.1111111111
1429,1,54,9,0.1666666667
1433,5,51,9,0.1764705882
1439,11,41,3,0.07317073171
1447,7,49,14,0.2857142857
1451,11,48,4,0.08333333333
1453,1,57,15,0.2631578947
1459,7,50,7,0.14
1471,7,50,9,0.18
1481,5,49,4,0.08163265306
1483,7,55,19,0.3454545455
1487,11,44,10,0.2272727273
1489,1,57,14,0.2456140351
1493,5,57,7,0.1228070175
1499,11,50,4,0.08
1511,11,39,5,0.1282051282
1523,11,57,8,0.1403508772
1531,7,53,10,0.1886792453
1543,7,55,18,0.3272727273
1549,1,60,13,0.2166666667
1553,5,55,7,0.1272727273
1559,11,40,3,0.075
1567,7,58,19,0.3275862069
1571,11,49,6,0.1224489796
1579,7,57,10,0.1754385965
1583,11,50,7,0.14
1597,1,63,17,0.2698412698
1601,5,53,5,0.09433962264
1607,11,54,10,0.1851851852
1609,1,60,13,0.2166666667
1613,5,57,8,0.1403508772
1619,11,53,4,0.07547169811
1621,1,63,10,0.1587301587
1627,7,61,17,0.2786885246
1637,5,59,6,0.1016949153
1657,1,65,19,0.2923076923
1663,7,61,10,0.1639344262
1667,11,57,7,0.1228070175
1669,1,63,11,0.1746031746
1693,1,65,14,0.2153846154
1697,5,64,12,0.1875
1699,7,60,13,0.2166666667
1709,5,61,5,0.08196721311
1721,5,59,9,0.1525423729
1723,7,67,13,0.1940298507
1733,5,64,6,0.09375
1741,1,66,10,0.1515151515
1747,7,68,18,0.2647058824
1753,1,68,24,0.3529411765
1759,7,60,11,0.1833333333
1777,1,68,16,0.2352941176
1783,7,66,22,0.3333333333
1787,11,68,9,0.1323529412
1789,1,68,9,0.1323529412
1801,1,68,12,0.1764705882
1811,11,53,5,0.09433962264
1823,11,54,6,0.1111111111
1831,7,67,12,0.1791044776
1847,11,56,7,0.125
1861,1,68,12,0.1764705882
1867,7,73,18,0.2465753425
1871,11,56,5,0.08928571429
1873,1,75,18,0.24
1877,5,70,8,0.1142857143
1879,7,65,15,0.2307692308
1889,5,61,5,0.08196721311
1901,5,69,5,0.07246376812
1907,11,67,10,0.1492537313
1913,5,71,8,0.1126760563
1931,11,60,5,0.08333333333
1933,1,76,10,0.1315789474
1949,5,64,5,0.078125
1951,7,65,14,0.2153846154
1973,5,72,11,0.1527777778
1979,11,60,4,0.06666666667
1987,7,76,22,0.2894736842
1993,1,77,21,0.2727272727
1997,5,73,7,0.09589041096
1999,7,70,9,0.1285714286
2003,11,75,7,0.09333333333
2011,7,77,13,0.1688311688
2017,1,81,16,0.1975308642
2027,11,74,9,0.1216216216
2029,1,76,12,0.1578947368
2039,11,63,6,0.09523809524
2053,1,81,13,0.1604938272
2063,11,64,6,0.09375
2069,5,77,7,0.09090909091
2081,5,72,5,0.06944444444
2083,7,80,15,0.1875
2087,11,70,10,0.1428571429
2089,1,76,13,0.1710526316
2099,11,69,9,0.1304347826
2111,11,64,5,0.078125
2113,1,84,24,0.2857142857
2129,5,75,6,0.08
2131,7,76,12,0.1578947368
2137,1,85,20,0.2352941176
2141,5,70,5,0.07142857143
2143,7,83,18,0.2168674699
2153,5,82,9,0.1097560976
2161,1,81,18,0.2222222222
2179,7,84,10,0.119047619
2203,7,87,22,0.2528735632
2207,11,73,7,0.09589041096
2213,5,82,6,0.07317073171
2221,1,88,9,0.1022727273
2237,5,86,6,0.06976744186
2239,7,76,10,0.1315789474
2243,11,79,11,0.1392405063
2251,7,87,13,0.1494252874
2267,11,84,12,0.1428571429
2269,1,87,14,0.1609195402
2273,5,83,9,0.1084337349
2281,1,90,17,0.1888888889
2287,7,81,21,0.2592592593
2293,1,92,20,0.2173913043
2297,5,86,11,0.1279069767
2309,5,80,5,0.0625
2311,7,82,12,0.1463414634
2333,5,89,11,0.1235955056
2339,11,79,4,0.05063291139
2341,1,90,14,0.1555555556
2347,7,93,21,0.2258064516
2351,11,67,6,0.08955223881
2357,5,88,11,0.125
2371,7,86,14,0.1627906977
2377,1,95,18,0.1894736842
2381,5,90,8,0.08888888889
2383,7,85,17,0.2
2389,1,91,10,0.1098901099
2393,5,85,9,0.1058823529
2399,11,71,10,0.1408450704
2411,11,78,8,0.1025641026
2417,5,92,9,0.09782608696
2423,11,85,10,0.1176470588
2437,1,97,17,0.175257732
2441,5,83,5,0.06024096386
2447,11,84,9,0.1071428571
2459,11,84,5,0.05952380952
2467,7,96,24,0.25
2473,1,98,19,0.193877551
2477,5,94,11,0.1170212766
2503,7,94,19,0.2021276596
2521,1,97,9,0.09278350515
2531,11,89,7,0.07865168539
2539,7,95,12,0.1263157895
2543,11,89,7,0.07865168539
2549,5,89,5,0.05617977528
2551,7,86,15,0.1744186047
2557,1,102,16,0.1568627451
2579,11,87,8,0.09195402299
2591,11,80,5,0.0625
2593,1,102,26,0.2549019608
2609,5,88,6,0.06818181818
2617,1,101,19,0.1881188119
2621,5,94,9,0.09574468085
2633,5,102,13,0.1274509804
2647,7,103,19,0.1844660194
2657,5,103,8,0.07766990291
2659,7,98,14,0.1428571429
2663,11,90,11,0.1222222222
2671,7,100,15,0.15
2677,1,106,27,0.2547169811
2683,7,107,21,0.1962616822
2687,11,87,12,0.1379310345
2689,1,106,16,0.1509433962
2693,5,102,11,0.1078431373
2699,11,98,7,0.07142857143
2707,7,106,26,0.2452830189
2711,11,87,6,0.06896551724
2713,1,107,12,0.1121495327
2719,7,93,18,0.1935483871
2729,5,94,8,0.08510638298
2731,7,103,11,0.1067961165
2741,5,100,6,0.06
2749,1,104,14,0.1346153846
2753,5,108,11,0.1018518519
2767,7,105,20,0.1904761905
2777,5,106,14,0.1320754717
2789,5,96,7,0.07291666667
2791,7,97,9,0.09278350515
2797,1,112,24,0.2142857143
2801,5,102,7,0.06862745098
2803,7,108,29,0.2685185185
2819,11,97,8,0.0824742268
2833,1,110,18,0.1636363636
2837,5,107,7,0.06542056075
2843,11,104,11,0.1057692308
2851,7,108,12,0.1111111111
2857,1,114,19,0.1666666667
2861,5,103,8,0.07766990291
2879,11,92,5,0.05434782609
2887,7,108,20,0.1851851852
2897,5,112,16,0.1428571429
2903,11,92,11,0.1195652174
2909,5,104,6,0.05769230769
2917,1,116,25,0.2155172414
2927,11,107,11,0.1028037383
2939,11,94,5,0.05319148936
2953,1,117,25,0.2136752137
